HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,HomeFifaRank,HomeFifaPoints,HomeGoalsScoredLast4Y,HomeGoalsReceivedLast4Y,HomeWinsLast4Y,HomeLossesLast4Y,HomeDrawsLast4Y,HomeIsHost,HomeSquadMarketValueEur,HomeSquadAvgAge,HomeWorldCupTitlesBefore,AwayFifaRank,AwayFifaPoints,AwayGoalsScoredLast4Y,AwayGoalsReceivedLast4Y,AwayWinsLast4Y,AwayLossesLast4Y,AwayDrawsLast4Y,AwayIsHost,AwaySquadMarketValueEur,AwaySquadAvgAge,AwayWorldCupTitlesBefore,SameContinent,DiffFifaRank,DiffFifaPoints,DiffGoalsScoredLast4Y,DiffGoalsReceivedLast4Y,DiffWinsLast4Y,DiffLossesLast4Y,DiffDrawsLast4Y,DiffSquadMarketValueEur,DiffSquadAvgAge,DiffWorldCupTitlesBefore,DiffIsHost
Sweden,Argentina,1934,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,France,1934,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Belgium,1934,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Hungary,1934,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Spain,1934,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Sweden,1934,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Switzerland,1934,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Spain,1934,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Austria,1934,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Germany,1934,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Austria,1934,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Czechoslovakia,1934,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Germany,1938,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Dutch East Indies,1938,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Romania,1938,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Belgium,1938,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Norway,1938,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Poland,1938,6,5,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Netherlands,1938,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Germany,1938,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,Romania,1938,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Switzerland,1938,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Cuba,1938,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,France,1938,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Czechoslovakia,1938,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Czechoslovakia,1938,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Sweden,1938,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Brazil,1938,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1938,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Hungary,1938,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Mexico,1950,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Switzerland,1950,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Switzerland,1950,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Mexico,1950,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Yugoslavia,1950,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Mexico,1950,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Chile,1950,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,United States,1950,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Chile,1950,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,England,1950,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,England,1950,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,United States,1950,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Italy,1950,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Paraguay,1950,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Paraguay,1950,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Bolivia,1950,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Spain,1950,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1950,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Spain,1950,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Sweden,1950,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Spain,1950,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Brazil,1950,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Mexico,1954,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,France,1954,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Yugoslavia,1954,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Mexico,1954,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Turkey,1954,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,South Korea,1954,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,West Germany,1954,8,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,South Korea,1954,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Turkey,1954,7,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Czechoslovakia,1954,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Scotland,1954,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Scotland,1954,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Czechoslovakia,1954,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Italy,1954,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Belgium,1954,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Belgium,1954,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Switzerland,1954,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,Italy,1954,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Switzerland,1954,7,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,England,1954,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Yugoslavia,1954,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Brazil,1954,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Austria,1954,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Uruguay,1954,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Uruguay,1954,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Hungary,1954,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,West Germany,1958,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Czechoslovakia,1958,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Czechoslovakia,1958,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Northern Ireland,1958,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Northern Ireland,1958,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Argentina,1958,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Czechoslovakia,1958,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Paraguay,1958,7,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Scotland,1958,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,France,1958,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Scotland,1958,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Scotland,1958,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Yugoslavia,1958,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Mexico,1958,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Wales,1958,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Wales,1958,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Hungary,1958,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Wales,1958,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Mexico,1958,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Hungary,1958,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Austria,1958,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,England,1958,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,England,1958,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Austria,1958,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Austria,1958,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Soviet Union,1958,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,England,1958,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Wales,1958,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Northern Ireland,1958,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Soviet Union,1958,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Yugoslavia,1958,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,France,1958,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,West Germany,1958,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,West Germany,1958,6,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Sweden,1958,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Colombia,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Yugoslavia,1962,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Uruguay,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Colombia,1962,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Uruguay,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Colombia,1962,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Switzerland,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Italy,1962,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Italy,1962,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Switzerland,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Chile,1962,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Switzerland,1962,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Mexico,1962,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Spain,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Czechoslovakia,1962,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Mexico,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Spain,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Czechoslovakia,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Bulgaria,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,England,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Argentina,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bulgaria,1962,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Argentina,1962,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Bulgaria,1962,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Soviet Union,1962,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Hungary,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,England,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,West Germany,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,Yugoslavia,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Chile,1962,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Yugoslavia,1962,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Czechoslovakia,1962,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Uruguay,1966,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,Mexico,1966,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,France,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Mexico,1966,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Uruguay,1966,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,France,1966,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Switzerland,1966,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Spain,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Switzerland,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,West Germany,1966,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Switzerland,1966,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Spain,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Bulgaria,1966,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Hungary,1966,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Brazil,1966,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Bulgaria,1966,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Brazil,1966,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Bulgaria,1966,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,North Korea,1966,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Chile,1966,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,North Korea,1966,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Italy,1966,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,Italy,1966,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Chile,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Argentina,1966,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Uruguay,1966,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Hungary,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,North Korea,1966,5,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Soviet Union,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Portugal,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Soviet Union,1966,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,West Germany,1966,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Soviet Union,1970,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,El Salvador,1970,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Belgium,1970,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,El Salvador,1970,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,El Salvador,1970,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Belgium,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Israel,1970,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Sweden,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Italy,1970,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Israel,1970,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Uruguay,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Israel,1970,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Romania,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Czechoslovakia,1970,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Czechoslovakia,1970,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,England,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Romania,1970,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Czechoslovakia,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Bulgaria,1970,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Morocco,1970,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Morocco,1970,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Bulgaria,1970,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Peru,1970,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Morocco,1970,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soviet Union,Uruguay,1970,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,Mexico,1970,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Peru,1970,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,England,1970,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Uruguay,1970,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,West Germany,1970,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Uruguay,1970,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Italy,1970,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,Chile,1974,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,Australia,1974,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,West Germany,1974,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,East Germany,1974,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Chile,1974,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,West Germany,1974,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Yugoslavia,1974,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaire,Scotland,1974,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,Zaire,1974,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Brazil,1974,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Yugoslavia,1974,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaire,Brazil,1974,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Netherlands,1974,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
